track_id	ZZtrack_name89	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	pop	rap	rock	r&b	edm
3TcL0dyCMyr0kyTTc4NLgI	Who Says	Selena Gomez & The Scene	74	3TcL0dyCMyr0kyTTc4NLgI	When The Sun Goes Down	2011-01-01	Post teen pop	3TcL0dyCMyr0kyTTc4NLgI	0.682_0.927	4	-2.915	1	0.0479	0.0843	2.60185777966399	0.149	0.744	101.019	195613	post-teen pop	NA	NA	NA	NA
0hnHoQbEQOL4YUZ4SO6xbe	Calling All the Monsters	China Anne McClain	47	0hnHoQbEQOL4YUZ4SO6xbe	Calling All The Monsters	2011-01-01	Post teen pop	0hnHoQbEQOL4YUZ4SO6xbe	0.56_0.826	6	-5.866	0	0.0976	0.00272	9.33752876250073	0.487	0.492	141.974	206676	post-teen pop	NA	NA	NA	NA
48qKqo6HgIG8VLN4CpYb37	Magic	Selena Gomez	47	48qKqo6HgIG8VLN4CpYb37	Wizards Of Waverly Place	2009-01-01	Post teen pop	48qKqo6HgIG8VLN4CpYb37	0.602_0.922	11	-3.061	0A	0.0386	0.00632	0	0.284	0.396	104.101	169733	post-teen pop	NA	NA	NA	NA
4TSxpQC5oY6XBkUSLPYM6G	Boombox	Laura Marano	47	4TSxpQC5oY6XBkUSLPYM6G	Boombox	2016-03-11	Post teen pop	4TSxpQC5oY6XBkUSLPYM6G	0.6_0.809	9	-4.982	1	0.164	0.0176	0	0.139	0.61	127.981	196303	post-teen pop	NA	NA	NA	NA
5y6pj7OeBFF0CVgZKhRbOG	Black Magic	Little Mix	76	5y6pj7OeBFF0CVgZKhRbOG	Get Weird (Deluxe)	2015-11-06	Post teen pop	5y6pj7OeBFF0CVgZKhRbOG	0.777_0.895	4	-4.464	1	0.0618	0.0348	0	0.317	0.826	111.987	211773	post-teen pop	NA	NA	NA	NA
3vrw4MWkszWdFlCmJfpkv2	Por fin ya veo la luz	Carmen Lopez	41	3vrw4MWkszWdFlCmJfpkv2	Enredados (Rapunzel) OST	2011-01-01	Post teen pop	3vrw4MWkszWdFlCmJfpkv2	0.31_0.167	5	-14.525	1	0.029	0.856	0	0.0766	0.226	98.343	224227	post-teen pop	NA	NA	NA	NA
0WSO4MJCg5nCW261pGQHao	Cuando mi vida va a comenzar	Carmen Lopez	37	0WSO4MJCg5nCW261pGQHao	Enredados (Rapunzel) OST	2011-01-01	Post teen pop	0WSO4MJCg5nCW261pGQHao	0.698_0.458	4	-6.853	1	0.0295	0.183	0	0.0906	0.526	108.025	152333	post-teen pop	NA	NA	NA	NA
5AJlZB3pgR7fM3DWTeL6WT	El Ritmo De La Selva	Fernando Garcia Baro	27	5AJlZB3pgR7fM3DWTeL6WT	The Jungle Book 2 Original Soundtrack	2003-01-01	Post teen pop	5AJlZB3pgR7fM3DWTeL6WT	0.379_0.502	10	-10.027	0	0.163	0.461	0	0.557	0.759	203.425	184920	post-teen pop	NA	NA	NA	NA
0zqY0ttERCqwSfgzfMWMNG	La Bella Y La Bestia	Marta Martorell	37	0zqY0ttERCqwSfgzfMWMNG	La Bella y La Bestia (Edicion Especial/Banda Sonora Original)	2002-01-01	Post teen pop	0zqY0ttERCqwSfgzfMWMNG	0.225_0.0917	5	-20.384	0	0.0385	0.916	0.000914	0.153	0.152	86.34	163840	post-teen pop	NA	NA	NA	NA
2y8rZoB5iJBt233kASCihn	Introducing Me	Nick Jonas	49	2y8rZoB5iJBt233kASCihn	Camp Rock 2: The Final Jam	2010-01-01	Post teen pop	2y8rZoB5iJBt233kASCihn	0.509_0.495	11	-6.073	1	0.0515	0.491	0	0.0773	0.684	112.893	187627	post-teen pop	NA	NA	NA	NA
