track_id	BBtrack_name3480	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	rap	rock	r&b
4gUteMcpbt8S7PMc5Wy6uS	Missile	Dorothy	54	4gUteMcpbt8S7PMc5Wy6uS	ROCKISDEAD	2016-06-24	Badass Rock	4gUteMcpbt8S7PMc5Wy6uS	0.528_0.448	0	-6.408	1R	0.0261	0.0121	4.86823696109932	0.158	0.668	145.989	204225	southern hip hop	NA	NA
3mMLNYqksF82jffNPJseaz	Wicked Games	The Hot Damns	49	3mMLNYqksF82jffNPJseaz	The Hot Damns	2014-07-17	Badass Rock	3mMLNYqksF82jffNPJseaz	0.484_0.543	7	-5.62	1	0.0268	3.75e-05	1.45e-05	0.108	0.638	84.975	193765	southern hip hop	NA	NA
7ISL3LO8AWP3fKIXunvqTa	Joker And The Thief	Wolfmother	66	7ISL3LO8AWP3fKIXunvqTa	Wolfmother	2006-01-01	Badass Rock	7ISL3LO8AWP3fKIXunvqTa	0.264_0.78	0	-2.741	1	0.0517	0.0452	0.0222	0.376	0.456	155.376	280467	southern hip hop	NA	NA
58VTMFtsoe0E0vSX1pV03h	Blame It on the Boom Boom	Black Stone Cherry	57	58VTMFtsoe0E0vSX1pV03h	Between The Devil & The Deep Blue Sea (Special Edition)	3-01-01	Badass Rock	58VTMFtsoe0E0vSX1pV03h	0.574_0.889	10	-3.44	1	0.0524	0.00207	1.12e-05	0.0333	0.784	116.007	189133	southern hip hop	NA	NA
5jddjli3YTIxueb3xFdLaA	Down To The Bottom	Dorothy	54	5jddjli3YTIxueb3xFdLaA	Down To The Bottom	2017-05-05	Badass Rock	5jddjli3YTIxueb3xFdLaA	0.613_0.608	11	-5.429	0	0.0263	0.0147	0	0.245	0.523	87.467	152468	southern hip hop	NA	NA
5GoaMYsGRwJa1kHT2WL6Hw	Search and Destroy	All Good Things	38	5GoaMYsGRwJa1kHT2WL6Hw	Battle Rock	2013-07-15	Badass Rock	5GoaMYsGRwJa1kHT2WL6Hw	0.59_0.888	2	-5.242	1	0.0783	0.00274	0	0.0694	0.344	123.016	247819	southern hip hop	NA	NA
0LL2iuwjFIObiUEiC5SedP	All For One	The Phantoms	18	0LL2iuwjFIObiUEiC5SedP	Different Drum	2014-05-14	Badass Rock	0LL2iuwjFIObiUEiC5SedP	0.562_0.721	7	-6.043	1R	0.0396	3.03e-05	7.51378494640812	0.0327	0.649	66.503	193281	southern hip hop	NA	NA
2NPHU2WJaI3rrtCNNuQ8L1	Raise Hell	Dorothy	63	2NPHU2WJaI3rrtCNNuQ8L1	ROCKISDEAD	2016-06-24	Badass Rock	2NPHU2WJaI3rrtCNNuQ8L1	0.547_0.693	6	-6.404	1R	0.0264	0.0224	0	0.523	0.716	79.963	181868	southern hip hop	NA	NA
4CdH04HcZHMBLtDULDHFfe	Black Betty	Ministry & Co-Conspirators	30	4CdH04HcZHMBLtDULDHFfe	Cover Up	2008-04-01	Badass Rock	4CdH04HcZHMBLtDULDHFfe	0.252_0.916	7	-6.357	1	0.0691	8.68e-06	0.751	0.105	0.385	119.927	209013	southern hip hop	NA	NA
1DG8aQMP3dS9Pxf1lUnKh4	That Thing You Do	Ellem	39	1DG8aQMP3dS9Pxf1lUnKh4	That Thing You Do	2016-09-05	Badass Rock	1DG8aQMP3dS9Pxf1lUnKh4	0.755_0.937	8	-3.623	0	0.0891	0.0114	0.000233	0.0772	0.59	119.979	188000	southern hip hop	NA	NA
5c4X3PrLDtzAqXOWDtfX2t	Whiskey Fever	Dorothy	46	5c4X3PrLDtzAqXOWDtfX2t	ROCKISDEAD	2016-06-24	Badass Rock	5c4X3PrLDtzAqXOWDtfX2t	0.514_0.835	11	-5.188	0	0.0534	0.00581	0	0.176	0.564	126.016	157381	southern hip hop	NA	NA
6TgBXzpqMImjitAE1dRglH	If You Wanna Leave	Thorbjorn Risager	35	6TgBXzpqMImjitAE1dRglH	Too Many Roads	2014-03-21	Badass Rock	6TgBXzpqMImjitAE1dRglH	0.572_0.884	9	-2.299	0	0.0855	0.305	0.616	0.325	0.532	128.931	256086	southern hip hop	NA	NA
4N2d7hsNCkBCo1FLGAO9ll	Are You Satisfied?	Reignwolf	49	4N2d7hsNCkBCo1FLGAO9ll	Are You Satisfied?	2013-08-02	Badass Rock	4N2d7hsNCkBCo1FLGAO9ll	0.295_0.832	3	-6.789	0R	0.0631	0.00393	0.0722	0.102	0.615	140.979	214048	southern hip hop	NA	NA
3xKLnqf5nBIm5WFvFmhWDX	Changed Man	Michael Burks	0	3xKLnqf5nBIm5WFvFmhWDX	Iron Man	2009-06-18	Badass Rock	3xKLnqf5nBIm5WFvFmhWDX	0.448_0.94	5	-1.785	1	0.0932	0.15	0.000594	0.368	0.733	120.552	285747	southern hip hop	NA	NA
2BK4l09aPafX8i3rC2I4xF	Hawk Eyes	The Kicks	41	2BK4l09aPafX8i3rC2I4xF	Tonight Changes Everything	2012-09-23	Badass Rock	2BK4l09aPafX8i3rC2I4xF	0.515_0.934	0	-3.609	0	0.0482	0.00367	0	0.21	0.663	127.955	182827	southern hip hop	NA	NA
6XOINCZBv8Q7RXgNNiTwIN	A Girl Like You	Edwyn Collins	63	6XOINCZBv8Q7RXgNNiTwIN	Gorgeous George	1994	Badass Rock	6XOINCZBv8Q7RXgNNiTwIN	0.619_0.781	5	-7.455	0	0.0393	0.0243	0.000286	0.402	0.533	126.267	236583	southern hip hop	NA	NA
1ogRu1dOUgHvel8To8oQbe	Wicked Ones	Dorothy	61	1ogRu1dOUgHvel8To8oQbe	ROCKISDEAD	2016-06-24	Badass Rock	1ogRu1dOUgHvel8To8oQbe	0.587_0.635	5	-5.47	1	0.0377	0.0353	0	0.331	0.591	96.519	172516	southern hip hop	NA	NA
1iyd6WIPHBeabQGS1Ns1Le	I Get It My Way	Paul Otten	2	1iyd6WIPHBeabQGS1Ns1Le	Fight Like the Devil	2015-08-31	Badass Rock	1iyd6WIPHBeabQGS1Ns1Le	0.521_0.652	7	-5.773	1	0.03	0.00244	3.80144212045707	0.292	0.566	175.926	171818	southern hip hop	NA	NA
0XEUKN8CnHAKNmWmK1FG0d	The Heat	The Bones of J.R. Jones	46	0XEUKN8CnHAKNmWmK1FG0d	Spirits Furnace	2016-04-15	Badass Rock	0XEUKN8CnHAKNmWmK1FG0d	0.588_0.841	2	-4.374	1	0.0802	0.144	0.000511	0.0369	0.682	92.992	194332	southern hip hop	NA	NA
2WRk6RxETSwdsg2dhtnXxc	Suffocation Blues	Black Pistol Fire	56	2WRk6RxETSwdsg2dhtnXxc	Black Pistol Fire	2015-09-16	Badass Rock	2WRk6RxETSwdsg2dhtnXxc	0.282_0.843	11	-6.002	0	0.114	0.000839	3.02e-05	0.0699	0.418	175.798	161054	southern hip hop	NA	NA
6nxHMqTNKWlQnx5AFxz1iX	Green Machine	Kyuss	54	6nxHMqTNKWlQnx5AFxz1iX	Blues For The Red Sun	1992-01-01	Badass Rock	6nxHMqTNKWlQnx5AFxz1iX	0.341_0.947	5	-8.801	1	0.0508	8.21e-05	0.000692	0.118	0.594	181.062	217907	southern hip hop	NA	NA
0amPDBn2wSRl0vRyWSLk5v	The Bottle	Hermano	41	0amPDBn2wSRl0vRyWSLk5v	Only a Suggestion	2007-10-01	Badass Rock	0amPDBn2wSRl0vRyWSLk5v	0.381_0.539	7	-6.761	1R	0.0375	2.5e-05	0.723	0.125	0.499	127.424	282160	southern hip hop	NA	NA
