track_id	134_track_name_YFA	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	pop	rap	rock	latin
5iFwAOB2TFkPJk8sMlxP8g	Make You Mine	PUBLIC	79	5iFwAOB2TFkPJk8sMlxP8g	Make You Mine	2019-08-09	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	5iFwAOB2TFkPJk8sMlxP8g	0.606_0.799	9	-4.452	1	0.0261	0.0128	0	0.15	0.638	103.014	232907	indie poptimism	NA	NA	NA
3GzZfni9NCD54x1prgpIYl	Daphne Blue	The Band CAMINO	13	3GzZfni9NCD54x1prgpIYl	Daphne Blue / See Through	2019-05-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3GzZfni9NCD54x1prgpIYl	0.567_0.925	1	-2.775	0	0.0906	0.00239	0.0054	0.348	0.704	118.006	182840	indie poptimism	NA	NA	NA
3lPj2nA1lIrWIpbnhNG57v	these are my friends	lovelytheband	59	3lPj2nA1lIrWIpbnhNG57v	finding it hard to smile	2018-08-03	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3lPj2nA1lIrWIpbnhNG57v	0.617_0.732	11	-6.737	0v	0.0278	0.0278	6.81828691263217	0.125	0.723	84.977	208947	indie poptimism	NA	NA	NA
4hnjS0dbHpJwBlCkEAKVyX	Cemetery	COIN	60	4hnjS0dbHpJwBlCkEAKVyX	Cemetery	2018-11-16	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	4hnjS0dbHpJwBlCkEAKVyX	0.655_0.856	1	-4.615	0	0.0315	0.148	3.67e-06	0.126	0.941	126.984	177147	indie poptimism	NA	NA	NA
368q7QWp27Qbvh7wWFIyA2	Once In A Lifetime	Lost Stars	24	368q7QWp27Qbvh7wWFIyA2	Once In A Lifetime	2019-04-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	368q7QWp27Qbvh7wWFIyA2	0.758_0.805	6	-4.725	0	0.113	0.0343	1.37e-05	0.0458	0.587	107.935	178377	indie poptimism	NA	NA	NA
3lWHWGrRrVrEoYwolWZ38x	Replace It, Forget It	THE WLDLFE	35	3lWHWGrRrVrEoYwolWZ38x	Replace It, Forget It	2019-10-18	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3lWHWGrRrVrEoYwolWZ38x	0.554_0.768	6	-6.042	0v	0.0387	0.00794	6.75934925063048	0.356	0.753	150.062	206223	indie poptimism	NA	NA	NA
7yCyhsU75MYdbeqRLhLY51	smiling when i die	Sasha Sloan	68	7yCyhsU75MYdbeqRLhLY51	smiling when i die	2019-09-20	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	7yCyhsU75MYdbeqRLhLY51	0.753_0.41	0	-10.636	0	0.132	0.816	0.00217	0.104	0.231	93.001	206437	indie poptimism	NA	NA	NA
3GRSqlALWISqLeNncZMbpX	Mean It	Lauv	85	3GRSqlALWISqLeNncZMbpX	how im feeling	2019-11-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3GRSqlALWISqLeNncZMbpX	0.746_0.45	7	-8.543	1	0.0872	0.0407	0	0.172	0.336	95.998	232853	indie poptimism	NA	NA	NA
65Bynqyt59f3fojjs1Uo41	Stay With Me	ayokay	68	65Bynqyt59f3fojjs1Uo41	In the Shape of a Dream	2018-08-31	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	65Bynqyt59f3fojjs1Uo41	0.695_0.695	2	-6.612	1	0.0706	0.489	0.00019	0.131	0.468	100.021	189787	indie poptimism	NA	NA	NA
46QBu7dvDRKji86LUB2Vaa	Low Tide	XY&O	38	46QBu7dvDRKji86LUB2Vaa	Low Tide	23.4-05-28	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	46QBu7dvDRKji86LUB2Vaa	0.559_0.799	9	-5.807	0	0.0455	0.000397	0.00958	0.0609	0.367	116.975	202532	indie poptimism	NA	NA	NA
