track_id	TTrack_nameff5	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	pop	rap	rock	r&b	edm
5iFwAOB2TFkPJk8sMlxP8g	Make You Mine	PUBLIC	79	5iFwAOB2TFkPJk8sMlxP8g	Make You Mine	75-08-09	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	5iFwAOB2TFkPJk8sMlxP8g	0.606_0.799	9	-4.452	1	0.0261	0.0128	0	0.15	0.638	103.014	232907	indie poptimism	NA	NA	NA	NA
3GzZfni9NCD54x1prgpIYl	Daphne Blue	The Band CAMINO	13	3GzZfni9NCD54x1prgpIYl	Daphne Blue / See Through	75-05-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3GzZfni9NCD54x1prgpIYl	0.567_0.925	1	-2.775	0	0.0906	0.00239	0.0054	0.348	0.704	118.006	182840	indie poptimism	NA	NA	NA	NA
3lPj2nA1lIrWIpbnhNG57v	these are my friends	lovelytheband	59	3lPj2nA1lIrWIpbnhNG57v	finding it hard to smile	2018-08-03	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3lPj2nA1lIrWIpbnhNG57v	0.617_0.732	11	-6.737	0	0.0278	0.0278	0	0.125	0.723	84.977	208947	indie poptimism	NA	NA	NA	NA
4hnjS0dbHpJwBlCkEAKVyX	Cemetery	COIN	60	4hnjS0dbHpJwBlCkEAKVyX	Cemetery	2018-11-16	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	4hnjS0dbHpJwBlCkEAKVyX	0.655_0.856	1	-4.615	0	0.0315	0.148	3.67e-06	0.126	0.941	126.984	177147	indie poptimism	NA	NA	NA	NA
368q7QWp27Qbvh7wWFIyA2	Once In A Lifetime	Lost Stars	24	368q7QWp27Qbvh7wWFIyA2	Once In A Lifetime	75-04-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	368q7QWp27Qbvh7wWFIyA2	0.758_0.805	6	-4.725	0	0.113	0.0343	1.37e-05	0.0458	0.587	107.935	178377	indie poptimism	NA	NA	NA	NA
3lWHWGrRrVrEoYwolWZ38x	Replace It, Forget It	THE WLDLFE	35	3lWHWGrRrVrEoYwolWZ38x	Replace It, Forget It	75-10-18	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3lWHWGrRrVrEoYwolWZ38x	0.554_0.768	6	-6.042	0	0.0387	0.00794	0.0145	0.356	0.753	150.062	206223	indie poptimism	NA	NA	NA	NA
7yCyhsU75MYdbeqRLhLY51	smiling when i die	Sasha Sloan	68	7yCyhsU75MYdbeqRLhLY51	smiling when i die	75-09-20	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	7yCyhsU75MYdbeqRLhLY51	0.753_0.41	0	-10.636	0	0.132	0.816	0.00217	0.104	0.231	93.001	206437	indie poptimism	NA	NA	NA	NA
3GRSqlALWISqLeNncZMbpX	Mean It	Lauv	85	3GRSqlALWISqLeNncZMbpX	how im feeling	75-11-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3GRSqlALWISqLeNncZMbpX	0.746_0.45	7	-8.543	1	0.0872	0.0407	0	0.172	0.336	95.998	232853	indie poptimism	NA	NA	NA	NA
65Bynqyt59f3fojjs1Uo41	Stay With Me	ayokay	68	65Bynqyt59f3fojjs1Uo41	In the Shape of a Dream	2018-08-31	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	65Bynqyt59f3fojjs1Uo41	0.695_0.695	2	-6.612	1	0.0706	0.489	0.00019	0.131	0.468	100.021	189787	indie poptimism	NA	NA	NA	NA
46QBu7dvDRKji86LUB2Vaa	Low Tide	XY&O	38	46QBu7dvDRKji86LUB2Vaa	Low Tide	2015-05-28	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	46QBu7dvDRKji86LUB2Vaa	0.559_0.799	9	-5.807	0	0.0455	0.000397	0.00958	0.0609	0.367	116.975	202532	indie poptimism	NA	NA	NA	NA
33DzKnwuBE6lfOiADwzd5E	TOOTIMETOOTIMETOOTIME	The 1975	70	33DzKnwuBE6lfOiADwzd5E	A Brief Inquiry Into Online Relationships	2018-11-30	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	33DzKnwuBE6lfOiADwzd5E	0.667_0.824	8	-5.867	1	0.0665	0.177	0.0152	0.0933	0.518	114.998	207851	indie poptimism	NA	NA	NA	NA
3RbmtLzTMJsbJaXG9wCgwq	Chimera	Cheerleader	29	3RbmtLzTMJsbJaXG9wCgwq	Chimera	75-10-16	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3RbmtLzTMJsbJaXG9wCgwq	0.46_0.966	0	-3.292	1T	0.0476	0.00386	2.54e-06	0.451	0.299	119.987	251338	indie poptimism	NA	NA	NA	NA
75ylrnob5O80WTKi9ugZ1Z	Problems	A R I Z O N A	72	75ylrnob5O80WTKi9ugZ1Z	ASYLUM	75-10-11	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	75ylrnob5O80WTKi9ugZ1Z	0.72_0.658	2	-7.414	1	0.0446	0.0329	0.0302	0.123	0.134	98.001	171898	indie poptimism	NA	NA	NA	NA
2k7GyFSbErjCvk1QlTChxL	tokyo	joan	51	2k7GyFSbErjCvk1QlTChxL	tokyo	2017-12-13	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	2k7GyFSbErjCvk1QlTChxL	0.631_0.786	9	-5.267	1	0.0353	0.00716	0	0.12	0.761	102.027	226335	indie poptimism	NA	NA	NA	NA
5dewQ7ojISR32NAYNHFYWC	HEAVEN AND BACK	Chase Atlantic	57	5dewQ7ojISR32NAYNHFYWC	PHASES	75-06-28	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	5dewQ7ojISR32NAYNHFYWC	0.309_0.793	10	-6.195	0	0.0774	0.0902	0.092	0.0888	0.532	193.714	248240	indie poptimism	NA	NA	NA	NA
59qrf6BXeN74HUw5YvF9cX	Close	Cuva	30	59qrf6BXeN74HUw5YvF9cX	Close	75-11-01	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	59qrf6BXeN74HUw5YvF9cX	0.414_0.581	2	-8.051	1	0.0277	0.0687	0.00315	0.0947	0.172	104.949	265067	indie poptimism	NA	NA	NA	NA
3NNIgD6HMJ0tqwiSCdH2br	WYAF	Pacific	38	3NNIgD6HMJ0tqwiSCdH2br	WYAF	75-01-11	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3NNIgD6HMJ0tqwiSCdH2br	0.545_0.811	6	-6.412	1	0.027	0.00303	8.1e-05	0.0886	0.387	150.035	278463	indie poptimism	NA	NA	NA	NA
2csDp6iJqt8VypzWSFrwwT	Marzipan (If You Love Him)	No Coast	16	2csDp6iJqt8VypzWSFrwwT	Marzipan (If You Love Him)	75-07-08	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	2csDp6iJqt8VypzWSFrwwT	0.499_0.856	2	-6.352	1	0.045	0.0272	4.16401343350299	0.397	0.398	108.952	181853	indie poptimism	NA	NA	NA	NA
4yT3UMHdi1p0xkmLuwOu6f	Haunted	The Band CAMINO	55	4yT3UMHdi1p0xkmLuwOu6f	tryhard	75-08-23	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	4yT3UMHdi1p0xkmLuwOu6f	0.464_0.921	4	-3.539	1	0.0677	0.00654	0	0.127	0.461	144.127	263285	indie poptimism	NA	NA	NA	NA
