track_id	ZZtrack_name89	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	rap	rock	latin	r&b
7FIWs0pqAYbP91WWM0vlTQ	Godzilla (feat. Juice WRLD)	Eminem	79	7FIWs0pqAYbP91WWM0vlTQ	Music To Be Murdered By	0.5-01-17	RapCaviar	7FIWs0pqAYbP91WWM0vlTQ	0.808_0.745	10	-5.26	0	0.342	0.145	0	0.292	0.829	165.995	210800	hip hop	NA	NA	NA
6Ozh9Ok6h4Oi1wUSLtBseN	BOP	DaBaby	93	6Ozh9Ok6h4Oi1wUSLtBseN	KIRK	2019-09-27	RapCaviar	6Ozh9Ok6h4Oi1wUSLtBseN	0.769_0.787	11	-3.909	1	0.367	0.189	0	0.129	0.836	126.77	159715	hip hop	NA	NA	NA
5rSVQzJQ5nMUcFJDkJMfzL	First Place	Polo G	60	5rSVQzJQ5nMUcFJDkJMfzL	First Place	0.5-01-17	RapCaviar	5rSVQzJQ5nMUcFJDkJMfzL	0.656_0.566	0	-9.501	1	0.339	0.0125	0	0.0655	0.563	137.215	199992	hip hop	NA	NA	NA
1lO9CZo6eDrOy0S7khgryG	No Regrets (feat. Don Toliver)	Eminem	71	1lO9CZo6eDrOy0S7khgryG	Music To Be Murdered By	0.5-01-17	RapCaviar	1lO9CZo6eDrOy0S7khgryG	0.756_0.747	9	-5.407	1	0.046	0.0048	0.00536	0.588	0.0687	134.935	200947	hip hop	NA	NA	NA
1iSqfoUFnQwV0QW1EfUit8	Suicidal	YNW Melly	90	1iSqfoUFnQwV0QW1EfUit8	Melly vs. Melvin	2019-11-22	RapCaviar	1iSqfoUFnQwV0QW1EfUit8	0.736_0.369	9	-9.682	0	0.0688	0.334	0	0.126	0.235	140.005	222997	hip hop	NA	NA	NA
6gi6y1xwmVszDWkUqab1qw	OUT WEST (feat. Young Thug)	JACKBOYS	87	6gi6y1xwmVszDWkUqab1qw	JACKBOYS	2019-12-27	RapCaviar	6gi6y1xwmVszDWkUqab1qw	0.802_0.591	8	-4.895	1Q	0.225	0.0104	0	0.196	0.309	139.864	157712	hip hop	NA	NA	NA
2FvD20Z8aoWIePi7PoN8sG	TOES (feat. Lil Baby & Moneybagg Yo)	DaBaby	86	2FvD20Z8aoWIePi7PoN8sG	KIRK	2019-09-27	RapCaviar	2FvD20Z8aoWIePi7PoN8sG	0.816_0.582	8	-4.141	1	0.341	0.0794	5.84e-06	0.0916	0.542	160.004	136366	hip hop	NA	NA	NA
35Ycb1cMPK6tyNMsTepijg	Dead Man Walking (feat. Future)	2 Chainz	63	35Ycb1cMPK6tyNMsTepijg	Dead Man Walking	0.5-01-17	RapCaviar	35Ycb1cMPK6tyNMsTepijg	0.848_0.699	5	-5.425	0	0.157	0.0401	0	0.148	0.535	150.024	135507	hip hop	NA	NA	NA
598yNsG1JFrGd4n2kMoz7F	Woah	Lil Baby	88	598yNsG1JFrGd4n2kMoz7F	Woah	2019-11-08	RapCaviar	598yNsG1JFrGd4n2kMoz7F	0.882_0.602	11	-5.554	1	0.245	0.0177	0	0.178	0.43	142.959	183011	hip hop	NA	NA	NA
0jBJIQuToUUOEx7JJkiPzm	How I Move (feat. Lil Baby)	Flipp Dinero	80	0jBJIQuToUUOEx7JJkiPzm	How I Move (feat. Lil Baby)	2019-11-15	RapCaviar	0jBJIQuToUUOEx7JJkiPzm	0.826_0.635	5	-5.181	0	0.212	0.102	0	0.245	0.808	119.954	224916	hip hop	NA	NA	NA
